,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu_item
231,1,0,3.9,750,3,11,282,500.0,141
232,1,1,4.2,164,1,7,86,500.0,214
233,1,0,3.8,527,3,11,247,500.0,214
234,0,0,4.3,345,1,17,203,400.0,214
235,0,0,4.4,356,1,34,240,150.0,214
236,1,0,3.9,38,1,17,201,150.0,76
237,1,0,3.9,116,1,17,206,400.0,107
238,1,0,3.8,918,1,9,116,800.0,214
239,1,0,3.8,144,1,7,123,700.0,214
240,1,0,4.3,860,1,17,168,500.0,214
241,0,0,3.8,45,1,36,23,400.0,214
242,1,0,3.9,70,1,17,180,400.0,214
243,0,0,4.0,98,3,35,244,400.0,214
244,1,0,4.0,219,3,7,108,600.0,203
245,1,0,4.0,73,3,0,26,300.0,127
246,1,0,2.7,97,3,11,368,400.0,214
247,1,0,3.9,888,1,11,315,750.0,111
248,1,1,4.0,349,1,11,343,1200.0,49
249,1,0,4.2,287,1,31,247,350.0,214
250,1,1,4.6,2556,1,13,326,600.0,214
251,1,1,4.2,354,1,11,20,800.0,26
252,1,1,4.1,775,1,11,305,800.0,214
253,1,1,4.2,2115,1,11,332,800.0,214
254,0,1,3.8,977,1,23,191,1300.0,214
255,0,0,4.1,868,1,28,157,1200.0,214
256,1,0,4.0,324,1,7,112,700.0,187
257,1,0,4.1,787,1,11,137,800.0,214
258,1,0,4.2,504,1,7,117,550.0,36
259,1,0,4.1,402,1,7,73,500.0,146
260,1,1,4.2,150,1,7,112,600.0,61
261,1,1,4.2,164,1,7,86,500.0,87
262,0,0,4.2,244,1,11,216,800.0,214
263,1,0,4.0,771,1,11,364,450.0,190
264,1,0,4.2,1647,1,11,143,600.0,214
265,0,1,4.0,808,1,11,258,850.0,214
266,0,0,4.0,424,1,7,87,450.0,214
267,1,0,3.9,135,1,11,269,800.0,154
268,1,0,3.8,918,1,9,116,800.0,214
269,1,0,3.8,90,1,7,73,650.0,214
270,1,0,3.9,519,1,11,130,900.0,214
271,1,0,3.6,105,1,11,384,700.0,214
272,1,0,3.9,133,1,7,103,800.0,55
273,1,0,3.8,144,1,7,123,700.0,214
274,0,0,3.9,93,1,7,109,300.0,214
275,1,0,3.8,42,1,31,364,300.0,120
276,1,0,2.5,247,1,11,247,500.0,119
277,1,0,3.0,62,1,7,105,400.0,97
278,1,0,3.8,160,1,11,258,700.0,167
279,1,0,3.6,129,1,11,235,600.0,57
280,0,0,3.3,62,1,2,364,800.0,214
281,0,0,2.6,283,1,11,247,600.0,214
282,1,0,3.8,59,1,11,258,750.0,214
283,1,0,3.5,179,1,11,260,600.0,153
284,0,0,3.8,62,1,31,353,150.0,214
285,0,0,3.0,98,1,2,258,800.0,214
286,0,0,2.7,128,1,11,141,850.0,214
287,1,0,2.8,45,1,11,333,800.0,91
288,1,0,3.5,41,13,21,329,400.0,214
289,1,0,3.7,405,1,11,328,750.0,177
290,1,0,3.9,388,1,11,61,650.0,39
291,0,0,4.7,651,1,31,346,100.0,214
292,1,0,4.3,734,1,31,368,200.0,199
293,0,0,4.0,1047,1,31,212,450.0,214
294,1,0,3.8,505,1,31,67,450.0,27
295,1,0,3.9,264,1,31,346,200.0,136
296,1,0,3.9,286,1,31,67,500.0,142
297,0,0,4.4,343,1,31,346,100.0,214
298,0,0,3.8,70,1,31,175,500.0,214
299,1,0,3.8,70,1,31,346,100.0,7
300,1,0,3.7,237,1,31,358,200.0,89
301,1,0,4.1,201,1,31,368,300.0,80
302,1,0,2.8,506,1,31,296,500.0,214
303,0,0,4.1,520,1,31,45,300.0,214
304,0,0,3.7,88,1,31,363,300.0,214
305,1,0,3.7,136,1,31,339,600.0,34
306,0,0,3.9,88,1,31,346,250.0,214
307,0,0,3.8,189,1,31,346,300.0,214
308,0,0,3.8,39,1,31,354,350.0,214
309,1,0,3.9,540,1,31,328,800.0,130
310,0,0,3.6,71,1,31,309,250.0,214
311,1,0,3.5,88,1,31,366,350.0,44
312,1,0,3.0,87,1,31,330,600.0,148
313,1,0,4.2,415,1,31,255,500.0,42
314,1,0,3.3,128,1,31,258,300.0,78
315,0,0,4.1,94,1,31,346,100.0,214
316,0,0,3.7,65,1,31,190,300.0,214
317,0,0,3.5,52,1,31,346,300.0,214
318,1,0,3.0,290,1,31,265,450.0,2
319,1,0,3.7,59,1,31,321,200.0,214
320,0,0,3.7,130,1,31,346,200.0,214
321,1,0,3.5,80,1,31,383,250.0,178
322,1,0,3.9,441,1,31,366,400.0,86
323,1,0,3.6,84,1,31,364,250.0,32
324,0,0,4.0,42,1,31,373,300.0,214
325,1,0,3.0,213,1,31,313,400.0,181
326,0,0,4.2,725,6,31,349,350.0,214
327,1,0,3.9,750,3,11,282,500.0,140
328,0,0,3.8,166,3,11,308,600.0,214
329,0,0,4.4,4460,3,31,346,150.0,214
330,0,0,3.9,153,3,11,346,350.0,214
331,1,0,3.8,469,3,11,260,750.0,74
332,1,0,4.1,364,3,11,355,550.0,201
333,1,0,3.8,286,3,11,247,600.0,152
334,1,0,3.8,527,3,11,247,500.0,16
335,1,0,3.9,101,3,31,346,150.0,162
336,1,0,4.1,558,3,31,346,150.0,214
337,0,0,3.8,148,3,13,256,550.0,214
338,0,0,2.7,377,3,28,286,1100.0,214
